k = 0.4, result = (0.0, 0.0, 0.0), time = 0.405012845993042s
k = 0.4, result = (0.0, 0.0, 0.0), time = 0.4098775386810303s
k = 0.4, result = (0.0, 0.0, 0.0), time = 0.41671061515808105s
k = 0.4, result = (0.0, 0.0, 0.0), time = 0.41605329513549805s
k = 0.4, result = (0.0, 0.0, 0.0), time = 0.41140174865722656s
k = 0.4, result = (0.0, 0.0, 0.0), time = 0.4126591682434082s
k = 0.4, result = (0.0, 0.0, 0.0), time = 0.4176905155181885s
k = 0.4, result = (0.0, 0.0, 0.0), time = 0.42520737648010254s
k = 0.4, result = (0.0, 0.0, 0.0), time = 0.4165060520172119s
k = 0.4, result = (0.0, 0.0, 0.0), time = 0.40726351737976074s
k = 0.4, result = (0.0, 0.0, 0.0), time = 0.44281482696533203s
k = 0.4, result = (0.0, 0.0, 0.0), time = 0.4224576950073242s
k = 0.4, result = (0.0, 0.0, 0.0), time = 0.42835140228271484s
k = 0.4, result = (0.0, 0.0, 0.0), time = 0.4162256717681885s
k = 0.4, result = (0.0079, 0.9921, 0.6646), time = 40.22880482673645s
k = 0.9, result = (0.4504, 0.5496, 0.0988), time = 34.78734850883484s
k = 0.1, result = (0.0005, 0.9995, 0.9946), time = 66.87914538383484s
k = 0.2, result = (0.0012, 0.9988, 0.9393), time = 45.59436511993408s
k = 0.3, result = (0.0031, 0.9969, 0.8051), time = 38.622034549713135s
k = 0.4, result = (0.0079, 0.9921, 0.6646), time = 36.622838258743286s
k = 0.5, result = (0.0195, 0.9805, 0.5313), time = 35.76864051818848s
k = 0.6, result = (0.0697, 0.9303, 0.3862), time = 35.68038821220398s
k = 0.7, result = (0.2022, 0.7978, 0.2774), time = 34.76076817512512s
k = 0.8, result = (0.3744, 0.6256, 0.1958), time = 38.62715554237366s
k = 0.9, result = (0.4504, 0.5496, 0.0988), time = 34.77133250236511s
k = 0.5, filterd = 0.2, result = (0.0283, 0.9717, 0.4896), time = 29.51018762588501s
k = 0.6, filterd = 0.2, result = (0.097, 0.903, 0.3617), time = 26.621777057647705s
k = 0.7, filterd = 0.2, result = (0.2504, 0.7496, 0.2602), time = 27.14336895942688s
k = 0.8, filterd = 0.2, result = (0.4037, 0.5963, 0.1804), time = 26.844404935836792s
k = 0.9, filterd = 0.2, result = (0.4471, 0.5529, 0.0843), time = 27.862743854522705s
k = 0.5, filterd = 0.1, result = (0.1405, 0.8595, 0.8767), time = 0.583914041519165s
k = 0.6, filterd = 0.1, result = (0.2807, 0.7193, 0.7525), time = 0.7083084583282471s
k = 0.7, filterd = 0.1, result = (0.4142, 0.5858, 0.5956), time = 0.6492619514465332s
k = 0.8, filterd = 0.1, result = (0.493, 0.507, 0.4497), time = 0.576998233795166s
k = 0.9, filterd = 0.1, result = (0.5937, 0.4063, 0.2729), time = 0.49782681465148926s


k = 0.1, filterd = 0, result = (0.0034, 0.9966, 0.9955), time = 5.7450196743011475s
k = 0.1, filterd = 1, result = (0.0078, 0.9922, 0.9737), time = 2.816019296646118s
k = 0.1, filterd = 2, result = (0.0148, 0.9852, 0.8948), time = 1.1986181735992432s
k = 0.2, filterd = 0, result = (0.007, 0.993, 0.9927), time = 3.138962984085083s
k = 0.2, filterd = 1, result = (0.0141, 0.9859, 0.9701), time = 1.4681153297424316s
k = 0.2, filterd = 2, result = (0.0251, 0.9749, 0.893), time = 0.8295989036560059s
k = 0.3, filterd = 0, result = (0.025, 0.975, 0.9683), time = 1.285606861114502s
k = 0.3, filterd = 1, result = (0.0371, 0.9629, 0.9483), time = 0.7280542850494385s
k = 0.3, filterd = 2, result = (0.0556, 0.9444, 0.8749), time = 0.48478150367736816s
k = 0.4, filterd = 0, result = (0.0594, 0.9406, 0.9438), time = 0.8963680267333984s
